City,Category,Business,Demand,Competition,Investment
Nagpur,Tourism,Guest House,78,49,700000
Mysore,Retail,Bookstore,61,34,4200000
Nagpur,Food,Cafe,95,80,1100000
Lucknow,Tech,Software Startup,80,52,3400000
Rajkot,Tourism,Travel Agency,65,41,4000000
Vasai,Food,Cloud Kitchen,53,80,3900000
Mumbai,Tourism,Tour Guide Service,93,34,4400000
Vasai,Healthcare,Diagnostic Center,60,68,3100000
Coimbatore,Fitness,Yoga Studio,67,80,2000000
Ludhiana,Retail,Clothing Boutique,88,70,4100000
Kolkata,Fitness,Yoga Studio,52,38,1500000
Mysore,Healthcare,Pharmacy,72,74,1400000
Kolkata,Tourism,Guest House,60,29,700000
Mumbai,Healthcare,Clinic,89,27,4200000
Ghaziabad,Retail,Grocery Store,100,62,4000000
Kanpur,Tourism,Travel Agency,83,58,3000000
Vijayawada,Food,Bakery,83,66,800000
Ghaziabad,Tourism,Guest House,78,24,2200000
Tiruchirappalli,Food,Cafe,69,25,2400000
Aurangabad,Retail,Grocery Store,81,29,2200000
Nagpur,Fitness,Yoga Studio,73,43,4200000
Pune,Tourism,Guest House,92,50,2800000
Navi Mumbai,Education,Online Course,64,33,1600000
Pune,Retail,Grocery Store,54,75,3100000
Kanpur,Healthcare,Diagnostic Center,90,65,4100000
Navi Mumbai,Retail,Bookstore,72,50,4800000
Nashik,Healthcare,Diagnostic Center,50,32,1500000
Indore,Fitness,Dance Studio,52,75,3300000
Meerut,Education,Online Course,73,59,2100000
Vadodara,Tech,Mobile Repair,91,79,4500000
Ahmedabad,Food,Restaurant,55,75,1500000
Ludhiana,Fitness,Dance Studio,92,75,900000
Aurangabad,Healthcare,Diagnostic Center,77,26,4200000
Bangalore,Retail,Bookstore,76,31,2900000
Rajkot,Tourism,Guest House,83,52,3100000
Kolkata,Tech,Software Startup,62,43,900000
Raipur,Tourism,Tour Guide Service,79,68,4700000
Bangalore,Tech,Software Startup,98,30,1800000
Visakhapatnam,Tourism,Tour Guide Service,56,48,4800000
Indore,Tourism,Tour Guide Service,100,29,1200000
Vadodara,Fitness,Gym,78,42,3000000
Indore,Fitness,Yoga Studio,55,27,2100000
Hyderabad,Education,Coaching Institute,63,53,2300000
Kolkata,Fitness,Yoga Studio,86,57,1900000
Chennai,Food,Cloud Kitchen,55,73,600000
Mumbai,Food,Cafe,97,52,500000
Vasai,Food,Restaurant,97,57,2200000
Mumbai,Fitness,Dance Studio,84,50,4400000
Indore,Healthcare,Diagnostic Center,53,68,900000
Bhopal,Education,Coaching Institute,96,76,1600000
Mumbai,Tourism,Tour Guide Service,79,37,1800000
Meerut,Education,Coaching Institute,56,47,4200000
Tiruchirappalli,Tech,Mobile Repair,63,67,2700000
Vijayawada,Education,Tuition Center,71,47,4700000
Indore,Fitness,Dance Studio,62,39,4900000
Visakhapatnam,Healthcare,Diagnostic Center,56,42,3800000
Kolkata,Tech,Mobile Repair,55,35,3900000
Madurai,Healthcare,Pharmacy,90,30,3600000
Pune,Fitness,Dance Studio,92,50,2100000
Ahmedabad,Food,Cafe,94,67,3900000
Bhopal,Food,Restaurant,50,72,1300000
Indore,Healthcare,Clinic,96,51,3200000
Patna,Fitness,Yoga Studio,72,29,4100000
Jodhpur,Retail,Clothing Boutique,94,23,1100000
Ahmedabad,Education,Tuition Center,95,36,1600000
Lucknow,Education,Online Course,70,40,600000
Tiruchirappalli,Healthcare,Diagnostic Center,60,29,2200000
Visakhapatnam,Tourism,Guest House,75,72,600000
Indore,Tourism,Guest House,72,33,3300000
Ahmedabad,Tourism,Guest House,51,42,1500000
Kanpur,Tech,Electronics Store,98,28,3600000
Meerut,Education,Coaching Institute,100,36,2600000
Meerut,Food,Restaurant,57,78,4300000
Howrah,Food,Cafe,61,44,4200000
Delhi,Retail,Bookstore,52,80,3900000
Lucknow,Retail,Bookstore,86,65,2500000
Solapur,Food,Cloud Kitchen,66,62,3400000
Pune,Fitness,Yoga Studio,58,73,3500000
Kalyan,Fitness,Dance Studio,54,43,2800000
Amritsar,Healthcare,Diagnostic Center,86,77,2300000
Hyderabad,Tourism,Guest House,99,25,1000000
Jabalpur,Education,Tuition Center,57,47,2900000
Ludhiana,Fitness,Yoga Studio,63,30,600000
Kanpur,Education,Tuition Center,56,57,700000
Jaipur,Fitness,Dance Studio,60,56,1800000
Ahmedabad,Retail,Bookstore,56,75,700000
Nagpur,Healthcare,Clinic,86,47,4000000
Amritsar,Healthcare,Diagnostic Center,67,68,5000000
Solapur,Healthcare,Pharmacy,94,69,3100000
Agra,Retail,Grocery Store,66,60,1500000
Meerut,Tourism,Guest House,91,71,1500000
Chandigarh,Tourism,Guest House,62,24,4600000
Amritsar,Food,Cloud Kitchen,60,71,4700000
Vasai,Tourism,Tour Guide Service,96,48,2900000
Vasai,Retail,Clothing Boutique,64,35,600000
Navi Mumbai,Education,Coaching Institute,70,30,4500000
Bangalore,Tech,Software Startup,64,44,1900000
Vijayawada,Tech,Electronics Store,99,62,2200000
Jodhpur,Healthcare,Diagnostic Center,63,78,4000000
Jabalpur,Education,Tuition Center,93,76,4300000
Jaipur,Healthcare,Pharmacy,77,54,500000
Bangalore,Tech,Electronics Store,58,55,2700000
Hubli,Tech,Electronics Store,97,80,1600000
Madurai,Education,Online Course,89,46,2300000
Pune,Retail,Clothing Boutique,62,21,4000000
Kolkata,Retail,Grocery Store,53,23,500000
Indore,Retail,Bookstore,51,38,3300000
Rajkot,Fitness,Gym,65,66,4100000
Solapur,Retail,Clothing Boutique,64,42,700000
Allahabad,Tech,Software Startup,93,73,2100000
Bangalore,Education,Coaching Institute,97,69,3100000
Meerut,Retail,Bookstore,61,67,700000
Bangalore,Food,Restaurant,94,23,800000
Vadodara,Fitness,Yoga Studio,65,26,2300000
Amritsar,Food,Cloud Kitchen,66,46,3700000
Kalyan,Food,Restaurant,94,75,1500000
Ludhiana,Healthcare,Pharmacy,75,50,2600000
Kota,Healthcare,Pharmacy,68,54,3000000
Pune,Healthcare,Pharmacy,100,47,700000
Faridabad,Tourism,Travel Agency,76,68,4000000
Mumbai,Healthcare,Clinic,93,23,1600000
Ahmedabad,Food,Restaurant,75,50,1900000
Kanpur,Healthcare,Clinic,63,55,800000
Coimbatore,Healthcare,Clinic,62,39,2100000
Bangalore,Tourism,Travel Agency,70,36,2600000
Ahmedabad,Retail,Bookstore,95,31,1900000
Ahmedabad,Education,Coaching Institute,53,64,1700000
Kolkata,Retail,Grocery Store,74,46,2100000
Varanasi,Retail,Clothing Boutique,82,29,3800000
Mumbai,Education,Online Course,90,42,4400000
Jaipur,Education,Coaching Institute,50,54,2900000
Kanpur,Tourism,Guest House,63,36,600000
Kanpur,Education,Coaching Institute,77,60,1200000
Hyderabad,Retail,Bookstore,89,58,2600000
Bangalore,Tech,Mobile Repair,90,60,2300000
Ranchi,Fitness,Yoga Studio,68,35,3400000
Ludhiana,Fitness,Gym,94,73,600000
Bangalore,Food,Bakery,99,60,2600000
Pune,Food,Cloud Kitchen,60,23,1100000
Delhi,Fitness,Yoga Studio,76,78,2100000
Allahabad,Healthcare,Pharmacy,80,54,1300000
Tiruchirappalli,Tourism,Travel Agency,65,70,2000000
Allahabad,Fitness,Yoga Studio,63,75,4100000
Navi Mumbai,Healthcare,Clinic,60,30,600000
Raipur,Education,Online Course,54,22,3200000
Mumbai,Education,Tuition Center,62,78,2900000
Amritsar,Food,Cloud Kitchen,56,42,1000000
Bangalore,Tech,Software Startup,78,35,3300000
Ludhiana,Tourism,Tour Guide Service,53,31,4600000
Solapur,Fitness,Yoga Studio,63,74,3900000
Bhopal,Food,Bakery,50,32,1200000
Guwahati,Retail,Bookstore,99,71,3000000
Kalyan,Fitness,Yoga Studio,75,76,4000000
Srinagar,Tech,Electronics Store,76,30,4100000
Bangalore,Education,Coaching Institute,79,71,1900000
Delhi,Tourism,Tour Guide Service,91,39,4500000
Hubli,Fitness,Yoga Studio,54,34,4000000
Chennai,Healthcare,Diagnostic Center,76,68,1200000
Aurangabad,Healthcare,Diagnostic Center,80,28,1400000
Kanpur,Education,Tuition Center,74,76,800000
Chennai,Tourism,Tour Guide Service,54,71,1200000
Ahmedabad,Education,Coaching Institute,61,54,1800000
Kalyan,Tech,Electronics Store,64,61,3700000
Kota,Healthcare,Clinic,65,27,3900000
Kolkata,Education,Online Course,93,30,1500000
Indore,Retail,Grocery Store,91,67,4400000
Raipur,Tourism,Tour Guide Service,94,66,4900000
Indore,Fitness,Dance Studio,51,32,600000
Patna,Healthcare,Diagnostic Center,59,42,2600000
Delhi,Food,Bakery,63,29,2200000
Rajkot,Tourism,Tour Guide Service,51,73,1200000
Lucknow,Retail,Grocery Store,71,79,900000
Guwahati,Fitness,Gym,51,51,3000000
Lucknow,Tech,Mobile Repair,70,64,4100000
Delhi,Food,Restaurant,96,49,900000
Indore,Retail,Grocery Store,99,61,3700000
Mysore,Education,Online Course,68,67,4200000
Kota,Tourism,Tour Guide Service,74,68,1900000
Aurangabad,Retail,Bookstore,60,78,2500000
Delhi,Tourism,Tour Guide Service,56,61,4800000
Coimbatore,Retail,Grocery Store,72,57,2400000
Tiruchirappalli,Fitness,Gym,52,21,2600000
Gwalior,Fitness,Gym,71,73,2300000
Chennai,Fitness,Gym,80,36,2700000
Madurai,Education,Online Course,75,45,1500000
Raipur,Healthcare,Diagnostic Center,61,44,1400000
Solapur,Tech,Mobile Repair,56,27,4200000
Mumbai,Food,Cloud Kitchen,77,47,3500000
Amritsar,Food,Restaurant,90,56,4200000
Solapur,Healthcare,Clinic,80,37,3000000
Rajkot,Retail,Bookstore,95,75,600000
Rajkot,Education,Tuition Center,100,61,900000
Kanpur,Fitness,Dance Studio,62,61,1400000
Hyderabad,Tourism,Travel Agency,92,38,2500000
Jodhpur,Tourism,Guest House,78,24,2200000
Kolkata,Healthcare,Diagnostic Center,76,44,4500000
Bangalore,Fitness,Gym,69,47,2500000
Gwalior,Tech,Electronics Store,74,56,2600000
Navi Mumbai,Tourism,Guest House,80,62,3500000
Jaipur,Food,Restaurant,57,63,3400000
Vasai,Tourism,Tour Guide Service,77,58,2100000
Vijayawada,Tech,Software Startup,96,74,3200000
Solapur,Retail,Bookstore,65,41,3500000
Jaipur,Food,Bakery,55,42,1300000
Ludhiana,Education,Coaching Institute,87,63,2300000
Chennai,Retail,Clothing Boutique,95,65,4100000
Visakhapatnam,Retail,Bookstore,68,21,4900000
Vadodara,Tech,Mobile Repair,70,80,700000
Mumbai,Tourism,Travel Agency,58,49,2200000
Guwahati,Fitness,Yoga Studio,90,74,3500000
Raipur,Tourism,Guest House,74,66,500000
Hyderabad,Retail,Bookstore,91,71,1000000
Kalyan,Healthcare,Pharmacy,91,28,4100000
Bangalore,Fitness,Yoga Studio,55,64,800000
Tiruchirappalli,Retail,Clothing Boutique,51,28,1500000
Hyderabad,Retail,Bookstore,63,45,4200000
Kanpur,Education,Online Course,55,22,500000
Jaipur,Tech,Mobile Repair,67,42,3600000
Meerut,Fitness,Yoga Studio,66,37,3500000
Pune,Fitness,Dance Studio,85,67,4600000
Vasai,Tech,Electronics Store,95,58,1600000
Jodhpur,Retail,Clothing Boutique,52,70,2600000
Thane,Education,Coaching Institute,77,35,3600000
Bangalore,Fitness,Dance Studio,54,31,3300000
Ranchi,Tech,Mobile Repair,96,27,4400000
Bhopal,Tech,Mobile Repair,65,60,2000000
Aurangabad,Tourism,Guest House,77,65,4900000
Navi Mumbai,Education,Online Course,60,59,5000000
Nagpur,Education,Online Course,88,72,2200000
Bhopal,Tourism,Guest House,93,61,1600000
Chandigarh,Education,Online Course,82,64,2000000
Patna,Tourism,Travel Agency,86,72,1700000
Vadodara,Education,Online Course,69,77,800000
Vijayawada,Tech,Electronics Store,85,42,4900000
Kanpur,Tech,Electronics Store,67,55,2800000
Dhanbad,Education,Coaching Institute,85,30,2200000
Chandigarh,Tech,Electronics Store,64,21,3500000
Madurai,Healthcare,Clinic,100,79,900000
Indore,Education,Tuition Center,89,21,2200000
Nagpur,Healthcare,Clinic,69,27,4100000
Mumbai,Tech,Software Startup,86,68,800000
Indore,Education,Tuition Center,77,43,800000
Visakhapatnam,Education,Tuition Center,60,54,4300000
Chennai,Tech,Mobile Repair,72,53,3600000
Indore,Education,Coaching Institute,61,79,2500000
Chandigarh,Education,Coaching Institute,72,75,3300000
Coimbatore,Food,Cafe,56,48,4800000
Mumbai,Food,Cafe,93,39,1400000
Solapur,Food,Restaurant,83,38,3700000
Bhopal,Tech,Software Startup,72,45,4900000
Chennai,Food,Cafe,86,28,3400000
Vadodara,Fitness,Yoga Studio,65,65,600000
Ahmedabad,Food,Bakery,92,38,1500000
Mysore,Food,Bakery,56,34,3400000
Hyderabad,Tourism,Travel Agency,57,49,4000000
Ghaziabad,Healthcare,Diagnostic Center,99,55,3800000
Bangalore,Retail,Clothing Boutique,64,31,2800000
Mumbai,Healthcare,Diagnostic Center,68,73,500000
Mumbai,Tourism,Guest House,92,78,4700000
Navi Mumbai,Education,Coaching Institute,82,61,1100000
Delhi,Tech,Software Startup,78,40,1100000
Chennai,Fitness,Gym,63,29,4500000
Navi Mumbai,Tourism,Guest House,80,71,1400000
Lucknow,Fitness,Dance Studio,93,60,3600000
Lucknow,Food,Restaurant,50,32,700000
Kalyan,Tourism,Travel Agency,80,60,4000000
Patna,Education,Tuition Center,80,71,4900000
Hyderabad,Retail,Grocery Store,58,66,3600000
Howrah,Retail,Grocery Store,74,68,4900000
Madurai,Healthcare,Clinic,56,26,3800000
Howrah,Tech,Software Startup,74,24,3300000
Dhanbad,Food,Cloud Kitchen,64,73,800000
Madurai,Food,Cloud Kitchen,70,35,3000000
Dhanbad,Retail,Bookstore,84,43,4200000
Srinagar,Healthcare,Pharmacy,67,41,2200000
Jodhpur,Food,Restaurant,50,28,1700000
Kanpur,Tech,Software Startup,80,42,3200000
Raipur,Food,Restaurant,85,45,3000000
Chandigarh,Food,Restaurant,53,42,3900000
Solapur,Food,Bakery,94,56,900000
Visakhapatnam,Food,Bakery,99,46,1700000
Thane,Fitness,Gym,91,47,1700000
Raipur,Healthcare,Diagnostic Center,75,48,3300000
Bangalore,Tech,Electronics Store,87,50,4300000
Lucknow,Education,Online Course,95,67,5000000
Gwalior,Food,Restaurant,83,28,3900000
Gwalior,Education,Tuition Center,96,69,1300000
Ahmedabad,Food,Cloud Kitchen,77,35,3000000
Hyderabad,Food,Bakery,54,26,2700000
Rajkot,Education,Tuition Center,53,77,3200000
Gwalior,Education,Tuition Center,53,61,1500000
Jodhpur,Fitness,Gym,75,52,2100000
Thane,Healthcare,Diagnostic Center,74,27,3800000
Vadodara,Fitness,Yoga Studio,80,30,4100000
Agra,Healthcare,Clinic,71,20,800000
Lucknow,Food,Restaurant,87,55,4000000
Vasai,Fitness,Gym,95,23,1700000
Aurangabad,Healthcare,Clinic,52,74,3600000
Nagpur,Retail,Grocery Store,54,75,2600000
Ranchi,Healthcare,Clinic,97,42,3500000
Agra,Food,Bakery,94,80,1700000
Visakhapatnam,Healthcare,Pharmacy,78,27,1200000
Lucknow,Retail,Clothing Boutique,88,42,4000000
Patna,Education,Tuition Center,53,49,4600000
Kolkata,Retail,Grocery Store,77,41,2600000
Kolkata,Retail,Grocery Store,62,26,1400000
Jaipur,Retail,Grocery Store,69,67,2400000
Indore,Fitness,Gym,80,58,1800000
Mumbai,Healthcare,Pharmacy,94,43,1200000
Hubli,Food,Cafe,72,44,3500000
Dhanbad,Tourism,Guest House,58,68,1700000
Kota,Retail,Clothing Boutique,90,20,500000
Chennai,Tech,Electronics Store,50,66,4000000
Rajkot,Education,Coaching Institute,59,75,700000
Hyderabad,Healthcare,Diagnostic Center,82,51,4700000
Vadodara,Retail,Bookstore,97,45,1800000
Thane,Tech,Mobile Repair,57,68,3200000
Patna,Healthcare,Clinic,85,27,1400000
Delhi,Education,Coaching Institute,95,56,4500000
Jabalpur,Food,Bakery,92,63,3900000
Kolkata,Education,Online Course,86,58,4000000
Ahmedabad,Tourism,Tour Guide Service,65,76,4000000
Ghaziabad,Retail,Clothing Boutique,71,75,3500000
Kalyan,Tech,Electronics Store,65,25,1900000
Jaipur,Healthcare,Clinic,50,67,4000000
Srinagar,Food,Cafe,92,25,2100000
Faridabad,Education,Coaching Institute,69,27,600000
Dhanbad,Tech,Mobile Repair,84,67,1400000
Mumbai,Fitness,Gym,71,46,3300000
Vasai,Fitness,Yoga Studio,99,67,1300000
Jodhpur,Food,Cafe,68,59,3100000
Nagpur,Tech,Electronics Store,98,78,1400000
Kanpur,Healthcare,Clinic,83,28,3800000
Mumbai,Tourism,Travel Agency,69,25,4900000
Solapur,Fitness,Gym,80,21,2000000
Howrah,Fitness,Dance Studio,50,71,3900000
Tiruchirappalli,Healthcare,Pharmacy,80,39,1100000
Patna,Food,Restaurant,99,63,4800000
Visakhapatnam,Food,Cafe,63,23,3300000
Vadodara,Tourism,Travel Agency,68,57,1300000
Ludhiana,Tourism,Travel Agency,77,69,800000
Kalyan,Tech,Electronics Store,86,77,800000
Lucknow,Healthcare,Clinic,65,33,500000
Raipur,Tech,Mobile Repair,53,28,5000000
Chennai,Education,Coaching Institute,81,79,4000000
Mumbai,Food,Cafe,96,63,4800000
Bangalore,Retail,Clothing Boutique,94,35,5000000
Solapur,Healthcare,Clinic,80,35,4500000
Chandigarh,Food,Cafe,79,75,1100000
Aurangabad,Retail,Grocery Store,68,62,4100000
Allahabad,Fitness,Yoga Studio,56,68,2000000
Nashik,Food,Cloud Kitchen,60,39,2200000
Indore,Fitness,Yoga Studio,93,48,800000
Mumbai,Fitness,Yoga Studio,85,26,3700000
Mumbai,Education,Tuition Center,74,24,1800000
Varanasi,Tech,Mobile Repair,65,65,2000000
Nagpur,Food,Bakery,72,74,900000
Hubli,Healthcare,Diagnostic Center,54,73,700000
Agra,Education,Coaching Institute,67,49,4200000
Mysore,Education,Tuition Center,60,20,1400000
Mysore,Fitness,Yoga Studio,82,46,1600000
Srinagar,Food,Cloud Kitchen,82,41,1600000
Jaipur,Healthcare,Pharmacy,96,50,500000
Chandigarh,Tech,Software Startup,91,26,1600000
Bangalore,Retail,Clothing Boutique,84,23,4900000
Guwahati,Education,Coaching Institute,77,47,4400000
Kota,Tech,Software Startup,54,24,4100000
Delhi,Tourism,Travel Agency,96,28,3300000
Mumbai,Education,Coaching Institute,89,53,4100000
Ghaziabad,Education,Coaching Institute,82,73,3800000
Agra,Healthcare,Clinic,72,61,2100000
Nagpur,Healthcare,Diagnostic Center,53,58,3400000
Navi Mumbai,Fitness,Yoga Studio,54,56,4700000
Faridabad,Healthcare,Clinic,57,26,4400000
Kalyan,Fitness,Dance Studio,67,43,4500000
Vijayawada,Education,Tuition Center,55,54,2100000
Lucknow,Fitness,Gym,55,79,4200000
Agra,Retail,Bookstore,61,76,3300000
Thane,Healthcare,Diagnostic Center,92,60,2000000
Pune,Healthcare,Pharmacy,53,24,1100000
Mumbai,Food,Bakery,77,21,900000
Mysore,Food,Bakery,81,27,4500000
Meerut,Food,Bakery,89,38,4800000
Kanpur,Healthcare,Diagnostic Center,88,74,2900000
Mumbai,Retail,Clothing Boutique,96,57,4300000
Patna,Tech,Mobile Repair,57,63,4700000
Faridabad,Retail,Clothing Boutique,72,67,4400000
Bangalore,Healthcare,Clinic,53,39,4600000
Kalyan,Healthcare,Pharmacy,97,80,2100000
Lucknow,Food,Cloud Kitchen,70,45,2000000
Raipur,Healthcare,Pharmacy,57,28,4900000
Tiruchirappalli,Healthcare,Clinic,55,46,4600000
Coimbatore,Retail,Clothing Boutique,91,30,3900000
Ahmedabad,Food,Bakery,61,67,1900000
Aurangabad,Healthcare,Pharmacy,99,43,4100000
Mumbai,Retail,Bookstore,66,78,3100000
Kalyan,Tourism,Guest House,53,37,2400000
Ludhiana,Education,Coaching Institute,75,38,4600000
Hubli,Healthcare,Diagnostic Center,77,79,4500000
Ahmedabad,Retail,Clothing Boutique,64,65,1300000
Kolkata,Tech,Mobile Repair,64,60,800000
Hyderabad,Fitness,Dance Studio,70,79,2600000
Vasai,Tourism,Guest House,80,36,1100000
Delhi,Fitness,Yoga Studio,76,32,600000
Coimbatore,Fitness,Dance Studio,92,24,1000000
Pune,Retail,Bookstore,85,26,3300000
Jodhpur,Tech,Electronics Store,55,77,2200000
Hyderabad,Food,Cloud Kitchen,83,49,2300000
Visakhapatnam,Fitness,Dance Studio,76,66,2900000
Amritsar,Healthcare,Diagnostic Center,69,72,4800000
Kolkata,Fitness,Dance Studio,51,53,2100000
Mysore,Education,Tuition Center,91,47,1900000
Allahabad,Tourism,Travel Agency,72,72,600000
Patna,Tech,Mobile Repair,51,21,2200000
Howrah,Tech,Software Startup,54,63,3300000
Mysore,Education,Coaching Institute,89,80,800000
Lucknow,Food,Restaurant,80,45,3100000
Vijayawada,Tech,Electronics Store,97,30,1200000
Visakhapatnam,Healthcare,Pharmacy,62,46,1200000
Lucknow,Healthcare,Clinic,60,41,2500000
Jabalpur,Tourism,Guest House,64,28,4700000
Navi Mumbai,Retail,Bookstore,67,32,4700000
Bangalore,Healthcare,Pharmacy,62,64,4500000
Delhi,Food,Bakery,77,78,3600000
Bangalore,Tech,Software Startup,73,67,3300000
Gwalior,Tech,Software Startup,76,60,700000
Hubli,Fitness,Dance Studio,67,65,4400000
Pune,Fitness,Gym,90,27,3600000
Rajkot,Healthcare,Pharmacy,63,56,1300000
Srinagar,Tech,Electronics Store,73,42,3500000
Jabalpur,Tech,Software Startup,99,37,2000000
Nashik,Tech,Software Startup,53,58,3800000
Vijayawada,Tourism,Travel Agency,89,60,1100000
Madurai,Tech,Electronics Store,94,30,2600000
Chennai,Fitness,Yoga Studio,53,55,2600000
Meerut,Food,Restaurant,90,35,4600000
Bangalore,Retail,Clothing Boutique,83,28,1700000
Coimbatore,Fitness,Yoga Studio,77,80,1500000
Chandigarh,Tech,Electronics Store,54,76,4300000
Hyderabad,Healthcare,Diagnostic Center,68,32,800000
Nashik,Retail,Grocery Store,57,41,1700000
Nagpur,Fitness,Gym,78,56,2600000
Rajkot,Retail,Bookstore,60,64,3800000
Mumbai,Tech,Mobile Repair,63,48,2300000
Lucknow,Tech,Mobile Repair,61,67,2300000
Mumbai,Education,Online Course,52,68,1700000
Kanpur,Fitness,Gym,65,70,1800000
Kanpur,Retail,Clothing Boutique,81,54,2700000
Kanpur,Education,Tuition Center,81,30,4900000
Jabalpur,Healthcare,Clinic,75,65,900000
Gwalior,Education,Online Course,59,78,600000
Jabalpur,Healthcare,Pharmacy,57,65,2200000
Ranchi,Food,Cafe,53,54,1800000
Tiruchirappalli,Healthcare,Clinic,72,75,2500000
Kota,Food,Bakery,62,80,2700000
Vasai,Fitness,Yoga Studio,78,48,1000000
Mumbai,Tourism,Guest House,90,37,4200000
Lucknow,Retail,Clothing Boutique,63,58,800000
Rajkot,Healthcare,Clinic,85,49,1800000
Mysore,Fitness,Yoga Studio,56,61,1400000
Kanpur,Education,Tuition Center,70,52,4400000
Pune,Tourism,Travel Agency,75,58,3000000
Faridabad,Healthcare,Pharmacy,83,39,3400000
Patna,Food,Cafe,87,39,1000000
Ahmedabad,Tech,Mobile Repair,90,60,700000
Bhopal,Education,Tuition Center,68,29,900000
Patna,Food,Bakery,73,49,4000000
Madurai,Education,Online Course,87,58,2600000
Madurai,Healthcare,Clinic,80,64,600000
Mumbai,Food,Cafe,68,69,4100000
Delhi,Healthcare,Clinic,52,26,4500000
Guwahati,Retail,Grocery Store,62,60,3400000
Visakhapatnam,Tourism,Guest House,78,27,1400000
Bangalore,Fitness,Gym,78,72,2500000
Faridabad,Tech,Electronics Store,81,64,1800000
Lucknow,Retail,Clothing Boutique,50,65,1000000
Ranchi,Education,Tuition Center,90,50,4000000
Kolkata,Healthcare,Pharmacy,94,42,3500000
Chennai,Food,Cloud Kitchen,52,77,3000000
Hyderabad,Fitness,Dance Studio,95,32,4500000
Bangalore,Education,Online Course,53,80,1500000
Vadodara,Education,Online Course,80,67,4300000
Navi Mumbai,Fitness,Yoga Studio,97,47,2000000
Ahmedabad,Education,Tuition Center,54,49,500000
Ghaziabad,Education,Online Course,83,75,3300000
Ludhiana,Education,Tuition Center,79,64,600000
Navi Mumbai,Retail,Grocery Store,98,34,3600000
Navi Mumbai,Education,Online Course,52,68,700000
Aurangabad,Tech,Mobile Repair,88,80,900000
Howrah,Food,Cloud Kitchen,91,23,1300000
Mumbai,Retail,Grocery Store,61,31,800000
Mumbai,Food,Restaurant,100,75,3600000
Nagpur,Retail,Grocery Store,54,46,3200000
Pune,Tech,Mobile Repair,65,36,500000
Hyderabad,Education,Online Course,98,62,2600000
Solapur,Fitness,Yoga Studio,70,75,1300000
Hubli,Education,Coaching Institute,84,34,4800000
Navi Mumbai,Food,Restaurant,89,70,3400000
Mumbai,Healthcare,Diagnostic Center,80,75,2100000
Mumbai,Education,Coaching Institute,82,23,1300000
Jabalpur,Retail,Grocery Store,94,34,4700000
Vijayawada,Tourism,Tour Guide Service,90,76,4600000
Vadodara,Food,Restaurant,72,31,1200000
Madurai,Healthcare,Clinic,86,43,1200000
Mumbai,Education,Online Course,59,45,1000000
Delhi,Tourism,Guest House,86,47,2000000
Ludhiana,Healthcare,Diagnostic Center,73,47,4100000
Madurai,Tech,Mobile Repair,68,47,1900000
Gwalior,Fitness,Yoga Studio,84,51,3200000
Gwalior,Tourism,Travel Agency,90,22,2600000
Ludhiana,Tourism,Travel Agency,98,44,2600000
Pune,Tourism,Guest House,69,55,4100000
Kanpur,Retail,Bookstore,98,51,4600000
Chennai,Food,Restaurant,81,43,700000
Chennai,Food,Restaurant,72,26,2100000
Vadodara,Tourism,Guest House,62,37,3500000
Bangalore,Tech,Electronics Store,66,38,3500000
Kalyan,Fitness,Dance Studio,78,79,4400000
Mysore,Food,Restaurant,79,76,3800000
Faridabad,Fitness,Dance Studio,87,70,2200000
Srinagar,Education,Online Course,61,31,1300000
Bangalore,Education,Tuition Center,99,35,800000
Kota,Education,Tuition Center,87,23,600000
Amritsar,Retail,Bookstore,75,76,4100000
Delhi,Tech,Software Startup,77,21,600000
Thane,Food,Bakery,72,32,2500000
Guwahati,Tech,Mobile Repair,98,32,1900000
Lucknow,Tourism,Tour Guide Service,99,79,700000
Agra,Retail,Clothing Boutique,90,71,1600000
Varanasi,Education,Tuition Center,74,76,3900000
Mumbai,Tech,Software Startup,59,43,3900000
Bhopal,Healthcare,Diagnostic Center,95,68,4800000
Hubli,Food,Bakery,99,55,1800000
Pune,Education,Coaching Institute,64,68,3500000
Hubli,Healthcare,Pharmacy,86,38,1800000
Solapur,Retail,Bookstore,51,41,600000
Vasai,Food,Restaurant,63,26,1900000
Aurangabad,Tech,Electronics Store,50,50,800000
Ranchi,Healthcare,Clinic,71,62,1400000
Mysore,Food,Restaurant,93,79,3400000
Kolkata,Food,Cloud Kitchen,84,79,1900000
Navi Mumbai,Fitness,Gym,82,55,1700000
Pune,Tourism,Travel Agency,73,59,5000000
Vasai,Education,Tuition Center,82,28,3000000
Nagpur,Tourism,Travel Agency,94,34,4500000
Chennai,Food,Cafe,69,63,2000000
Indore,Tourism,Tour Guide Service,91,80,800000
Indore,Tech,Mobile Repair,79,32,2200000
Nagpur,Retail,Grocery Store,78,23,2900000
Madurai,Healthcare,Clinic,57,40,3900000
Coimbatore,Tourism,Travel Agency,95,60,900000
Patna,Healthcare,Diagnostic Center,57,42,700000
Ghaziabad,Tourism,Travel Agency,90,39,700000
Navi Mumbai,Healthcare,Clinic,57,24,2900000
Thane,Healthcare,Clinic,54,27,4800000
Kolkata,Fitness,Yoga Studio,71,33,2300000
Mysore,Fitness,Gym,71,20,1500000
Pune,Tourism,Travel Agency,88,63,4200000
Kolkata,Food,Cafe,57,33,1900000
Visakhapatnam,Education,Tuition Center,64,25,500000
